,Unnamed: 0,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1660,69519,5YJSA1CG5D,Kitsap,Bainbridge Island,WA,98110.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23.0,1261606,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035091002.0
1661,69567,5YJSA1BG9D,King,Bellevue,WA,98006.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,179491238,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007.0
1662,69589,5YJSA1DG6D,King,Seattle,WA,98112.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,43.0,225066159,POINT (-122.30763999999999 47.625230000000045),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
1663,69713,5YJRE1A14A,King,Seattle,WA,98112.0,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,43.0,108886998,POINT (-122.30763999999999 47.625230000000045),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
1664,69796,KNDJX3AE3J,King,Seattle,WA,98107.0,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,36.0,288239353,POINT (-122.378895 47.66905),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003302.0
1665,69810,5YJSA1CP7D,Island,Coupeville,WA,98239.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,10.0,111117212,POINT (-122.68127499999997 48.21784000000008),PUGET SOUND ENERGY INC,53029971100.0
1666,69836,WMZYU7C59K,King,Seattle,WA,98115.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,46.0,142120534,POINT (-122.31849999999997 47.679490000000044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003800.0
1667,69851,KNDJP3AE5H,King,Seattle,WA,98178.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,37.0,295930995,POINT (-122.23438499999997 47.49454500000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026001.0
1668,69880,WBA7J2C57J,King,Mercer Island,WA,98040.0,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,41.0,208699144,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500.0
1669,69920,5YJSA1DP2D,Clark,Camas,WA,98607.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,18.0,226179439,POINT (-122.40556499999997 45.59009000000003),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040610.0
