,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
2309,5YJYGDEF1L,King,Burien,WA,98166.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,34.0,107581799,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027901.0
101927,1N4AZ1CP3K,Pierce,Tacoma,WA,98446.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,29.0,202959956,POINT (-122.377475 47.096645),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,53053071412.0
140926,5YJSA1H13F,Pierce,Fircrest,WA,98466.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,28.0,146339938,POINT (-122.537565 47.231645),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072305.0
38289,WBY1Z4C50F,King,Seattle,WA,98112.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,43.0,240330555,POINT (-122.30763999999999 47.625230000000045),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
17697,7SAYGDEE3P,King,Burien,WA,98168.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34.0,227264418,POINT (-122.286465 47.476),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027400.0
112329,1G1FZ6S07K,Snohomish,Edmonds,WA,98026.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,21.0,2328469,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061042003.0
102175,1G1FX6S04H,Skagit,Mount Vernon,WA,98273.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10.0,282349868,POINT (-122.338975 48.41333),PUGET SOUND ENERGY INC,53057952100.0
107860,WA13ABGE9M,King,Sammamish,WA,98075.0,2021,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,218,0,41.0,141546128,POINT (-122.03308999999996 47.58153000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032211.0
79898,KNDCC3LG6K,King,Woodinville,WA,98072.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,45.0,112259332,POINT (-122.15166499999998 47.75855000000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0
65547,WDC0G5EB8K,Snohomish,Lynnwood,WA,98087.0,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,21.0,194004863,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061042004.0
8768,1N4AZ1CPXJ,King,Bellevue,WA,98005.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,41.0,156551615,POINT (-122.16084999999998 47.62451500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601.0
114307,5YJSA1E22H,King,Seattle,WA,98103.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,43.0,157855526,POINT (-122.34300999999999 47.659185000000036),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005000.0
120576,5YJYGAEE2M,King,Snoqualmie,WA,98065.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,176588744,POINT (-121.87404959999998 47.534554600000035),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032800.0
89146,5YJ3E1EA0P,Snohomish,Bothell,WA,98012.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,232690825,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061051934.0
111955,5YJ3E1EB9L,Pierce,Lake Tapps,WA,98391.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,31.0,107420897,POINT (-122.183805 47.18062),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070315.0
29264,7SAYGDEE0P,King,Sammamish,WA,98075.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,227416703,POINT (-122.03308999999996 47.58153000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213.0
107511,JTDKAMFP4M,King,Seattle,WA,98116.0,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,34.0,142174945,POINT (-122.38815999999997 47.56567000000007),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010501.0
22606,5YJ3E1EB2J,King,Sammamish,WA,98074.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45.0,121196085,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318.0
55666,3FMTK1SS9P,King,Black Diamond,WA,98010.0,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,244396792,POINT (-122.00450999999998 47.312185000000056),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603.0
51085,5YJ3E1EB4L,King,Sammamish,WA,98074.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,45.0,4907262,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
5681,5YJ3E1EA6P,King,Newcastle,WA,98056.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,228656081,POINT (-122.18050499999998 47.50005500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
37728,7SAYGDEE5N,Snohomish,Lynnwood,WA,98087.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,205021729,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041812.0
42374,5YJ3E1EBXK,King,Seattle,WA,98136.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,34.0,149076931,POINT (-122.38867499999998 47.54150000000004),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010501.0
141257,5YJ3E1EC1M,Spokane,Spokane,WA,99206.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,6.0,151261246,POINT (-117.24548999999996 47.65340000000003),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063012401.0
74163,1G1RD6S57J,King,Seattle,WA,98117.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,36.0,8778822,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100.0
1865,WVWKP7AU3G,Kitsap,Bainbridge Island,WA,98110.0,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,23.0,125702223,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035091002.0
46097,5YJ3E1EA5P,King,Sammamish,WA,98029.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,240447826,POINT (-121.99959499999994 47.54763500000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223.0
25617,5YJYGDEF4M,King,Sammamish,WA,98074.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,166151093,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316.0
53108,5YJ3E1EB8L,King,Bellevue,WA,98006.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41.0,104484628,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025008.0
68557,7SAYGDEE1P,Clark,Ridgefield,WA,98642.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18.0,228585507,POINT (-122.74348499999996 45.81886000000003),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040303.0
67465,WBY1Z4C54E,King,Seattle,WA,98136.0,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,34.0,204561220,POINT (-122.38867499999998 47.54150000000004),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011601.0
16987,WBY1Z8C58H,Clark,Ridgefield,WA,98642.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,18.0,106161905,POINT (-122.74348499999996 45.81886000000003),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040905.0
101896,1G1RB6E41E,Spokane,Spokane,WA,99223.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,3.0,206477141,POINT (-117.36970499999995 47.626370000000065),MODERN ELECTRIC WATER COMPANY,53063004602.0
66046,5YJSA1E24H,Kitsap,Bainbridge Island,WA,98110.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,23.0,349349990,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035090700.0
90297,5YJ3E1EA4P,Snohomish,Bothell,WA,98012.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,240674269,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061051921.0
81561,3FA6P0PU6E,Snohomish,Monroe,WA,98272.0,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,39.0,143830683,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061052204.0
37605,7SAYGDEE1P,King,Bothell,WA,98011.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,240325158,POINT (-122.20577999999995 47.76240500000006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102.0
5709,5YJ3E1EA7J,King,Bellevue,WA,98004.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,41.0,225947298,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801.0
48198,5YJ3E1EB8J,Snohomish,Lynnwood,WA,98036.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1.0,475278674,POINT (-122.3164188 47.819664),PUGET SOUND ENERGY INC,53061051931.0
13928,1N4AZ0CP4D,King,Bellevue,WA,98005.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,48.0,209360385,POINT (-122.16084999999998 47.62451500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601.0
31249,JTDKARFP1H,King,Seattle,WA,98119.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,36.0,118051538,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0
54510,7SAYGDEE5P,King,Carnation,WA,98014.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,228749111,POINT (-121.91048029999996 47.64864000000006),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032500.0
1931,5YJSA1E67P,Clark,Vancouver,WA,98683.0,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18.0,228173452,POINT (-122.48538729999996 45.60833470000006),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041329.0
71048,JN1AZ0CP0B,King,Seattle,WA,98104.0,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,43.0,306616446,POINT (-122.329075 47.6018),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500.0
113204,7SAYGDEE7P,Island,Clinton,WA,98236.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10.0,231118408,POINT (-122.35936399999997 47.97965520000008),PUGET SOUND ENERGY INC,53029972100.0
126881,7SAYGAEE5N,Snohomish,Bothell,WA,98012.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,190835340,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052009.0
121575,1G1FY6S05M,Skagit,Concrete,WA,98237.0,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39.0,157525420,POINT (-121.75900499999995 48.53740000000005),PUGET SOUND ENERGY INC,53057951000.0
23813,5YJ3E1EB8L,King,Renton,WA,98057.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,37.0,102110263,POINT (-122.21024 47.4797047),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026003.0
83165,WBY1Z8C33H,Pierce,Tacoma,WA,98406.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,28.0,294550595,POINT (-122.490985 47.26365),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060907.0
3695,1G1FX6S02H,King,Seattle,WA,98125.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,46.0,132525060,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202.0
116582,KNDC3DLCXN,Pierce,Sumner,WA,98390.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,205590843,POINT (-122.23825 47.201625),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073302.0
121728,WAUTPBFF1J,Snohomish,Lynnwood,WA,98037.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,32.0,282741455,POINT (-122.29726499999998 47.84182000000004),PUGET SOUND ENERGY INC,53061051802.0
54101,5YJ3E1EB4L,Thurston,Olympia,WA,98513.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,2.0,4889006,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC,53067012331.0
43599,5YJ3E1EA6M,King,Sammamish,WA,98074.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,166253881,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.0
80139,5YJYGDEF6L,King,Medina,WA,98039.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,48.0,111005660,POINT (-122.22802499999995 47.615980000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200.0
143228,5YJYGDEE1M,Kittitas,Roslyn,WA,98941.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,13.0,144329762,POINT (-120.99441499999995 47.22222500000004),PUGET SOUND ENERGY INC,53037975104.0
114071,1FT6W1EV8P,Kitsap,Bainbridge Island,WA,98110.0,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,227493227,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035091001.0
49806,5YJ3E1EB6J,Thurston,Olympia,WA,98501.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,20.0,474466814,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067012610.0
142974,5YJYGDEE6M,San Juan,Orcas,WA,98280.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40.0,138841300,POINT (-122.94280129999999 48.59812890000006),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960102.0
1074,5YJSA1E6XM,King,Bothell,WA,98011.0,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,167102099,POINT (-122.20577999999995 47.76240500000006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021702.0
142412,5YJYGAEE0M,,,AK,,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,183244330,,,
127398,WBY8P2C08M,Thurston,Olympia,WA,98506.0,2021,BMW,I3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22.0,172156806,POINT (-122.88747809999995 47.051957300000026),PUGET SOUND ENERGY INC,53067010200.0
5716,5YJ3E1EB0N,King,Bellevue,WA,98004.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,218120493,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806.0
5058,5YJ3E1EA0L,King,Renton,WA,98059.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,11.0,116643110,POINT (-122.15733999999998 47.487175000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031913.0
47541,1G1RA6S53J,King,Seattle,WA,98144.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,37.0,109950648,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010001.0
25742,5YJYGDEE5L,King,Seattle,WA,98102.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,43.0,132273452,POINT (-122.32234499999998 47.639830000000075),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100.0
76398,5YJ3E1EB5M,Island,Oak Harbor,WA,98277.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10.0,228468579,POINT (-122.67886729999998 48.28973140000005),PUGET SOUND ENERGY INC,53029970300.0
84998,1N4AZ0CP9D,King,Seattle,WA,98115.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46.0,192111391,POINT (-122.31849999999997 47.679490000000044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003800.0
118033,JTDKAMFP9M,Benton,Kennewick,WA,99337.0,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,8.0,156500970,POINT (-119.14532999999994 46.18739500000004),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005011402.0
18160,KL8CL6S0XF,Clark,Vancouver,WA,98683.0,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,17.0,195959144,POINT (-122.48538729999996 45.60833470000006),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041323.0
91507,YV4ED3UR9N,King,Sammamish,WA,98074.0,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,205288548,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216.0
75098,5YJ3E1EB6L,King,Seattle,WA,98117.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36.0,4835750,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600.0
36316,WBY73AW0XP,King,Normandy Park,WA,98166.0,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,228094002,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600.0
66807,WA1VAAGE9K,Pierce,Gig Harbor,WA,98335.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,26.0,475246775,POINT (-122.5835454 47.3234488),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072407.0
47529,7SAYGDEE5P,King,Bellevue,WA,98006.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,226037479,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901.0
81326,KNDCC3LG9N,Spokane,Spokane,WA,99203.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,3.0,205765871,POINT (-117.42526499999997 47.635365000000036),MODERN ELECTRIC WATER COMPANY,53063004500.0
95009,5YJ3E1EB8N,Pierce,Fox Island,WA,98333.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26.0,187398739,POINT (-122.6066806 47.2254086),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072410.0
19179,1G1FY6S0XL,King,Seattle,WA,98112.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,43.0,146806614,POINT (-122.30763999999999 47.625230000000045),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200.0
35238,1N4AZ0CP8G,King,Issaquah,WA,98029.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5.0,183903842,POINT (-121.99959499999994 47.54763500000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221.0
9652,7SAYGDEE1P,King,Bellevue,WA,98007.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,230975118,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603.0
51039,1G1FW6S05H,King,Kenmore,WA,98028.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,46.0,260717922,POINT (-122.25047469999998 47.761712800000055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101.0
42526,1N4AZ0CP3D,King,Seattle,WA,98107.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,36.0,186494458,POINT (-122.378895 47.66905),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400.0
123944,7SAYGDEE8P,Pierce,Tacoma,WA,98422.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,27.0,236431639,POINT (-122.38578 47.28971),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940008.0
106778,7SAYGAEE8N,Snohomish,Everett,WA,98208.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,186450197,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061041601.0
83005,KM8KRDAF4N,Snohomish,Arlington,WA,98223.0,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39.0,217208988,POINT (-122.12324 48.19485),PUGET SOUND ENERGY INC,53061053507.0
80329,5YJYGDEE0L,King,Medina,WA,98039.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,48.0,125830015,POINT (-122.22802499999995 47.615980000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200.0
109193,5YJ3E1EB6J,Thurston,Lacey,WA,98503.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22.0,476015361,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011421.0
141753,5YJSA1E23K,Pierce,Tacoma,WA,98422.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,27.0,476520929,POINT (-122.38578 47.28971),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940001.0
28832,7PDSGABA9P,King,Seattle,WA,98199.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,241106477,POINT (-122.394185 47.63919500000003),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600.0
7351,5YJ3E1EA0H,King,Kirkland,WA,98033.0,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,48.0,135149584,POINT (-122.20263999999997 47.67850000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
89986,KM8K33AG2N,Thurston,Olympia,WA,98506.0,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22.0,170308281,POINT (-122.88747809999995 47.051957300000026),PUGET SOUND ENERGY INC,53067010200.0
136170,5YJYGDEE6M,Whatcom,Lummi Island,WA,98262.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42.0,138876412,POINT (-122.68884029999998 48.71999470000003),PUD NO 1 OF WHATCOM COUNTY,53073010900.0
